uid,level,vip_type,vip_status,time_after
27261595,5,2,1,830627
76965596,5,1,1,830464
357527372,3,0,0,830311
399049330,3,0,0,830310
505696894,3,0,0,829815
45511875,4,1,1,829104
189047548,4,1,0,828901
437473527,4,0,0,828246
400909848,3,0,0,828165
68118492,5,0,0,828020
18078587,5,0,0,827838
33529022,5,0,0,826882
12010577,5,2,1,826819
12010577,5,2,1,826809
277655515,3,0,0,826761
376289755,3,0,0,825417
376289755,3,0,0,825379
376289755,3,0,0,825361
376289755,3,0,0,825346
70925390,5,1,0,825222
437954600,3,0,0,823474
34908553,2,0,0,822858
7485215,5,1,0,822716
37280744,4,2,1,822678
3984743,2,0,0,812590
22417036,5,1,1,812534
84219109,5,1,0,809836
33287327,4,0,0,809036
392494885,4,2,1,808643
99392487,4,1,1,807781
22853285,5,0,0,807593
149588006,5,1,0,807290
307974487,5,2,1,806459
394982867,3,1,0,806384
259538032,4,0,0,805266
5718383,5,2,1,805004
14401731,5,2,1,804454
104492612,4,0,0,804079
13277599,5,1,1,803932
18757971,5,2,1,803787
5606999,5,0,0,803697
10720887,4,1,0,803587
345613839,4,1,0,803461
26537800,5,0,0,803274
32591249,5,1,1,803272
112007015,5,1,0,803245
392797726,3,0,0,803114
35094454,3,1,1,802970
363729619,4,1,1,802889
10412710,5,1,1,802227
83357774,5,1,1,801935
22876200,5,1,0,801896
37844971,5,1,1,801719
335326037,4,0,0,801394
175159226,3,2,1,800963
117520440,4,1,0,800941
6493990,5,2,1,800938
35460087,5,2,1,800784
89685748,5,2,1,800726
5894725,5,0,0,800627
456063957,3,1,0,800613
456063957,3,1,0,800607
278416002,4,2,1,800384
56353304,5,2,1,800273
602161389,2,0,0,800266
14959250,5,2,1,800237
23052776,5,1,1,800094
167446853,5,2,1,799995
72633670,4,1,1,799894
13023478,5,1,1,799757
413103207,4,0,0,799542
346660377,4,1,0,799507
159655404,2,1,1,799370
437572002,3,1,1,799287
10711711,5,0,0,799286
513034747,2,0,0,799279
