uid,level,vip_type,vip_status,time_after
8196934,5,2,1,-13312934
8196934,5,2,1,-13338727
8196934,5,2,1,-13681140
8196934,5,2,1,-14203910
8196934,5,2,1,-14254807
8196934,5,2,1,-14342154
8196934,5,2,1,-14676199
8196934,5,2,1,-14728489
8196934,5,2,1,-15456679
8196934,5,2,1,-15592534
8196934,5,2,1,-15721523
8196934,5,2,1,-16165423
8196934,5,2,1,-16238162
8196934,5,2,1,-16255025
8196934,5,2,1,-16514471
8196934,5,2,1,-16600962
8196934,5,2,1,-16887000
8196934,5,2,1,-17120543
8196934,5,2,1,-17268591
8196934,5,2,1,-17294976
8196934,5,2,1,-17363819
8196934,5,2,1,-17546566
8196934,5,2,1,-17546719
8196934,5,2,1,-17613655
8196934,5,2,1,-17695931
8196934,5,2,1,-17781515
8196934,5,2,1,-17879015
8196934,5,2,1,-17925622
8196934,5,2,1,-17955740
8196934,5,2,1,-17959932
8196934,5,2,1,-17961784
8196934,5,2,1,-18141249
8196934,5,2,1,-18207538
8196934,5,2,1,-18207569
8196934,5,2,1,-18251473
8196934,5,2,1,-18395842
8196934,5,2,1,-18484876
8196934,5,2,1,-18918118
8196934,5,2,1,-19034705
8196934,5,2,1,-19631221
8196934,5,2,1,-19704974
8196934,5,2,1,-19945558
8196934,5,2,1,-20384225
8196934,5,2,1,-20513305
8196934,5,2,1,-20810218
8196934,5,2,1,-20819142
8196934,5,2,1,-20829330
8196934,5,2,1,-20945867
8196934,5,2,1,-20994957
8196934,5,2,1,-21064636
8196934,5,2,1,-21150657
8196934,5,2,1,-21694901
8196934,5,2,1,-21694930
8196934,5,2,1,-21785117
8196934,5,2,1,-22199793
8196934,5,2,1,-23160702
8196934,5,2,1,-24013816
8196934,5,2,1,-24019271
8196934,5,2,1,-24026135
8196934,5,2,1,-25218212
8196934,5,2,1,-26159423
8196934,5,2,1,-26737606
8196934,5,2,1,-27383959
8196934,5,2,1,-27639208
8196934,5,2,1,-29013244
8196934,5,2,1,-29013337
8196934,5,2,1,-29192132
8196934,5,2,1,-29726257
8196934,5,2,1,-29726278
8196934,5,2,1,-29726300
8196934,5,2,1,-30108796
8196934,5,2,1,-30423688
8196934,5,2,1,-31446783
8196934,5,2,1,-31871590
8196934,5,2,1,-33451859
8196934,5,2,1,-33696668
8196934,5,2,1,-33792672
8196934,5,2,1,-33851509
8196934,5,2,1,-34485303
8196934,5,2,1,-34711540
8196934,5,2,1,-34847504
8196934,5,2,1,-35491009
8196934,5,2,1,-35491039
8196934,5,2,1,-35758538
8196934,5,2,1,-36379504
8196934,5,2,1,-36807123
8196934,5,2,1,-36807149
8196934,5,2,1,-36957558
8196934,5,2,1,-37254119
8196934,5,2,1,-37780392
8196934,5,2,1,-38385415
8196934,5,2,1,-38703242
8196934,5,2,1,-39469557
8196934,5,2,1,-39820521
8196934,5,2,1,-41077767
8196934,5,2,1,-44342852
8196934,5,2,1,-44392031
8196934,5,2,1,-45177320
8196934,5,2,1,-45177434
8196934,5,2,1,-45545951
8196934,5,2,1,-45556183
8196934,5,2,1,-45916175
8196934,5,2,1,-46299362
8196934,5,2,1,-46299388
8196934,5,2,1,-48924457
8196934,5,2,1,-49329776
8196934,5,2,1,-49936414
8196934,5,2,1,-50125056
8196934,5,2,1,-52330718
8306171,5,0,0,833552
8306171,5,0,0,655209
8306171,5,0,0,531047
8306171,5,0,0,424135
8306171,5,0,0,370016
8306171,5,0,0,369776
8306171,5,0,0,3960
8306171,5,0,0,3331
20258575,5,1,1,597423
26868652,5,2,1,862536
26868652,5,2,1,797198
26868652,5,2,1,592786
26868652,5,2,1,-2935832
26868652,5,2,1,-3005600
26868652,5,2,1,-3007414
26868652,5,2,1,-3042440
26868652,5,2,1,-3042482
26868652,5,2,1,-3435374
26868652,5,2,1,-3526253
26868652,5,2,1,-3629522
26868652,5,2,1,-3716239
26868652,5,2,1,-4052964
26868652,5,2,1,-4755032
26868652,5,2,1,-4756038
26868652,5,2,1,-4993092
26868652,5,2,1,-34574652
31265350,5,1,1,273583
31265350,5,1,1,241282
31265350,5,1,1,199071
31265350,5,1,1,-2921899
31265350,5,1,1,-2922017
31265350,5,1,1,-3007901
31265350,5,1,1,-3352499
31265350,5,1,1,-3354818
31265350,5,1,1,-3382539
31265350,5,1,1,-3439196
31265350,5,1,1,-3439571
31265350,5,1,1,-3439724
31265350,5,1,1,-3439849
31265350,5,1,1,-3439984
31265350,5,1,1,-3612101
31265350,5,1,1,-3612254
31265350,5,1,1,-4493211
